src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.19,192.168.10.3,1379,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:38,25525.0,14417.238001958864,156.70910871694417,78.35455435847209,78.35455435847209,2,2,152,216,76.0,76.0,76.0,0.0,108.0,108.0,108.0,0.0,108,76,92.0,16.0,256.0,16,16,8,2,8508.333333333334,25518.0,3.0,12027.650652651257,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,108.0,0,2,2,152,216
192.168.10.19,192.168.10.3,11737,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:38,26386.0,16144.925339195028,151.59554309103314,75.79777154551657,75.79777154551657,2,2,152,274,76.0,76.0,76.0,0.0,137.0,137.0,137.0,0.0,137,76,106.5,30.5,930.25,16,16,8,2,8795.333333333334,26381.0,1.0,12434.944212000131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,106.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,137.0,0,2,2,152,274
192.168.10.3,192.168.10.1,62468,53,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,2017-07-06 17:30:38,25117.0,8201.616435083808,79.62734402993988,39.81367201496994,39.81367201496994,1,1,87,119,87.0,87.0,87.0,0.0,119.0,119.0,119.0,0.0,119,87,103.0,16.0,256.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,103.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,119.0,0,1,1,87,119
192.168.10.3,192.168.10.1,62174,53,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,2017-07-06 17:30:38,25926.0,9064.259816400525,77.1426367353236,38.5713183676618,38.5713183676618,1,1,87,148,87.0,87.0,87.0,0.0,148.0,148.0,148.0,0.0,148,87,117.5,30.5,930.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,117.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,148.0,0,1,1,87,148
192.168.10.19,192.168.10.255,137,137,00:23:ae:9b:ad:b3,ff:ff:ff:ff:ff:ff,17,2017-07-06 17:30:38,3378994.0,6620.313619970914,60.66894466222787,60.66894466222787,0.0,205,0,22370,0,110.0,92.0,109.1219512195122,3.8773584291195426,0.0,0.0,0.0,0.0,110,92,109.1219512195122,3.8773584291195426,15.033908387864368,1640,0,8,205,16563.696078431374,1780399.0,1.0,165925.34102824383,3378994.0,1780399.0,1.0,16563.696078431374,165925.34102824383,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,109.1219512195122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4586.666666666667,68.33333333333333,0.0,0.0,821688.7614952824,0.0,109.1219512195122,0.0,0,205,0,22370,0
192.168.10.50,192.168.10.255,138,138,00:19:b9:0a:69:f1,ff:ff:ff:ff:ff:ff,17,2017-07-06 17:30:38,35.0,152857142.85714287,571428.5714285715,571428.5714285715,0.0,20,0,5350,0,279.0,256.0,267.5,11.5,0.0,0.0,0.0,0.0,279,256,267.5,11.5,132.25,160,0,8,20,1.8421052631578947,6.0,1.0,1.0888505718724841,35.0,6.0,1.0,1.8421052631578947,1.0888505718724841,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,267.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.0,20.0,0.0,0.0,128857142.85714285,0.0,267.5,0.0,0,20,0,5350,0
192.168.10.19,192.168.10.255,138,138,00:23:ae:9b:ad:b3,ff:ff:ff:ff:ff:ff,17,2017-07-06 17:30:38,20.0,138500000.0,499999.99999999994,499999.99999999994,0.0,10,0,2770,0,277.0,277.0,277.0,0.0,0.0,0.0,0.0,0.0,277,277,277.0,0.0,0.0,80,0,8,10,2.2222222222222223,7.0,1.0,1.7497795275581802,20.0,7.0,1.0,2.2222222222222223,1.7497795275581802,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,277.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,10.0,0.0,0.0,117500000.0,0.0,277.0,0.0,0,10,0,2770,0
192.168.10.50,192.168.10.19,137,137,00:19:b9:0a:69:f1,00:23:ae:9b:ad:b3,17,2017-07-06 17:30:38,3.0,69333333.33333333,666666.6666666666,666666.6666666666,0.0,2,0,208,0,104.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,104,104,104.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,104.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0,2,0,208,0
192.168.10.19,192.168.10.3,123,123,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:38,38015233.0,56.81932818878158,0.6313258687642398,0.3156629343821199,0.3156629343821199,12,12,1080,1080,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,96,96,8,12,1652836.2173913044,30999890.0,0.0,6294196.784761037,38015182.0,30999939.0,3.0,3455925.6363636362,8752392.826758575,38015171.0,30999989.0,0.0,3455924.6363636362,8752410.678704876,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,29984447.0,1999576.0,15992011.5,13992435.5,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0,12,12,1080,1080
192.168.10.19,192.168.10.3,40356,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:39,257.0,1431906.614785992,15564.202334630349,7782.101167315174,7782.101167315174,2,2,152,216,76.0,76.0,76.0,0.0,108.0,108.0,108.0,0.0,108,76,92.0,16.0,256.0,16,16,8,2,85.66666666666667,206.0,3.0,87.04915597267761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,108.0,0,2,2,152,216
192.168.10.19,192.168.10.3,31849,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:39,302.0,1410596.0264900662,13245.03311258278,6622.51655629139,6622.51655629139,2,2,152,274,76.0,76.0,76.0,0.0,137.0,137.0,137.0,0.0,137,76,106.5,30.5,930.25,16,16,8,2,100.66666666666667,254.0,1.0,110.03736739045614,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,106.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,137.0,0,2,2,152,274
192.168.10.3,192.168.10.255,137,137,18:66:da:9b:e3:7d,ff:ff:ff:ff:ff:ff,17,2017-07-06 17:30:39,1582026.0,1628.2918232696557,17.698824165974518,17.698824165974518,0.0,28,0,2576,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,224,0,8,28,58593.555555555555,803863.0,1.0,207182.34479306053,1582026.0,803863.0,1.0,58593.555555555555,207182.34479306053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,28.0,0.0,0.0,884.9412082987258,0.0,92.0,0.0,0,28,0,2576,0
192.168.10.19,192.168.10.3,44302,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,244.0,1754098.3606557378,16393.44262295082,8196.72131147541,8196.72131147541,2,2,164,264,82.0,82.0,82.0,0.0,132.0,132.0,132.0,0.0,132,82,107.0,25.0,625.0,16,16,8,2,81.33333333333333,193.0,3.0,81.06924338010207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,107.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,132.0,0,2,2,164,264
192.168.10.19,192.168.10.3,32791,389,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,6,2017-07-06 17:30:43,567.0,3241622.574955908,35273.36860670194,21164.021164021164,14109.347442680775,12,8,980,858,145.0,66.0,81.66666666666667,28.522895287041877,229.0,60.0,107.25,70.46763441467296,229,60,91.9,51.29805064522433,2631.4900000000002,240,160,20,4,29.842105263157894,76.0,1.0,25.703293169911,488.0,115.0,1.0,44.36363636363637,38.02217708671115,506.0,264.0,1.0,72.28571428571429,100.3575241477251,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,91.9,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66666666666667,107.25,0,12,8,980,858
192.168.10.19,192.168.10.3,24231,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,204.0,2705882.3529411764,19607.843137254902,9803.921568627451,9803.921568627451,2,2,226,326,113.0,113.0,113.0,0.0,163.0,163.0,163.0,0.0,163,113,138.0,25.0,625.0,16,16,8,2,68.0,153.0,3.0,62.849025449882674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,163.0,0,2,2,226,326
192.168.10.19,192.168.10.3,27139,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,209.0,2047846.889952153,19138.755980861242,9569.377990430621,9569.377990430621,2,2,164,264,82.0,82.0,82.0,0.0,132.0,132.0,132.0,0.0,132,82,107.0,25.0,625.0,16,16,8,2,69.66666666666667,113.0,48.0,30.64129385141706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,107.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,132.0,0,2,2,164,264
192.168.10.19,192.168.10.3,32792,389,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,6,2017-07-06 17:30:43,27855.0,441213.42667384667,1184.7065158858372,646.2035541195477,538.5029617662897,18,15,4654,7636,1378.0,66.0,258.55555555555554,403.39093558678314,3135.0,60.0,509.06666666666666,866.4895049694614,3135,60,372.42424242424244,667.5271884283761,445592.54729109275,360,300,20,10,870.46875,26015.0,0.0,4517.276557730713,27780.0,26015.0,1.0,1634.1176470588234,6098.065497326884,27821.0,26571.0,1.0,1987.2142857142858,6819.60944816565,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,372.42424242424244,29200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,480000.0,258.55555555555554,509.06666666666666,0,18,15,4654,7636
192.168.10.19,192.168.10.3,49445,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,205.0,2165853.6585365855,19512.19512195122,9756.09756097561,9756.09756097561,2,2,172,272,86.0,86.0,86.0,0.0,136.0,136.0,136.0,0.0,136,86,111.0,25.0,625.0,16,16,8,2,68.33333333333333,108.0,48.0,28.05153986662566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,111.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,136.0,0,2,2,172,272
192.168.10.19,192.168.10.3,34522,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,203.0,2187192.118226601,19704.433497536946,9852.216748768473,9852.216748768473,2,2,172,272,86.0,86.0,86.0,0.0,136.0,136.0,136.0,0.0,136,86,111.0,25.0,625.0,16,16,8,2,67.66666666666667,107.0,47.0,27.824849006278942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,111.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,136.0,0,2,2,172,272
192.168.10.19,192.168.10.3,49763,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,191.0,1717277.4869109946,20942.40837696335,10471.204188481675,10471.204188481675,2,2,148,180,74.0,74.0,74.0,0.0,90.0,90.0,90.0,0.0,90,74,82.0,8.0,64.0,16,16,8,2,63.666666666666664,138.0,4.0,55.67963920700477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,82.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,90.0,0,2,2,148,180
192.168.10.19,192.168.10.3,14308,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,236.0,1652542.372881356,16949.15254237288,8474.57627118644,8474.57627118644,2,2,148,242,74.0,74.0,74.0,0.0,121.0,121.0,121.0,0.0,121,74,97.5,23.5,552.25,16,16,8,2,78.66666666666667,234.0,1.0,109.83725334431037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,121.0,0,2,2,148,242
192.168.10.19,192.168.10.3,41447,88,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,562.0,1562277.5800711743,7117.437722419929,3558.7188612099644,3558.7188612099644,2,2,436,442,218.0,218.0,218.0,0.0,221.0,221.0,221.0,0.0,221,218,219.5,1.5,2.25,16,16,8,2,187.33333333333334,465.0,48.0,196.34040734284818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,219.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,221.0,0,2,2,436,442
192.168.10.19,192.168.10.3,27081,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,209.0,2363636.3636363633,19138.755980861242,9569.377990430621,9569.377990430621,2,2,186,308,93.0,93.0,93.0,0.0,154.0,154.0,154.0,0.0,154,93,123.5,30.5,930.25,16,16,8,2,69.66666666666667,111.0,49.0,29.227080289043965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,123.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,154.0,0,2,2,186,308
192.168.10.19,192.168.10.3,65205,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,216.0,2055555.5555555557,18518.51851851852,9259.25925925926,9259.25925925926,2,2,172,272,86.0,86.0,86.0,0.0,136.0,136.0,136.0,0.0,136,86,111.0,25.0,625.0,16,16,8,2,72.0,118.0,49.0,32.526911934581186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,111.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,136.0,0,2,2,172,272
192.168.10.19,192.168.10.3,19704,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:43,208.0,2134615.384615385,19230.76923076923,9615.384615384615,9615.384615384615,2,2,172,272,86.0,86.0,86.0,0.0,136.0,136.0,136.0,0.0,136,86,111.0,25.0,625.0,16,16,8,2,69.33333333333333,110.0,49.0,28.75567576825293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,111.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,136.0,0,2,2,172,272
